"","Gene.Description","Gene.Accession.Number","index"
"3316","ORF1; MER37; putative transposase similar to pogo element from  Human Tigger1 transposable element; complete consensus sequence./ntype=DNA /annot=CDS","U49973_xpt1_at",3316
"3317","ORF2: function unknown from  Human Tigger1 transposable element; complete consensus sequence./ntype=DNA /annot=CDS","U49973_xpt2_at",3317
"3318","Cell death protein (RIP) mRNA; partial cds","U50062_at",3318
"3319","Guanine nucleotide exchange factor p532 mRNA","U50078_at",3319
"3320","Leukotriene C4 synthase (LTC4S) gene","U50136_rna1_at",3320
"3321","Neuropeptide y2 receptor mRNA","U50146_at",3321
"3322","EZH1 Enhancer of zeste (Drosophila) homolog 1","U50315_at",3322
"3323","BMP1 Bone morphogenetic protein 1","U50330_at",3323
"3324","Retinoic acid-responsive protein (NN8-4AG) mRNA","U50383_at",3324
"3325","BRCA2 region; mRNA sequence CG037","U50523_at",3325
"3326","BRCA2 region; mRNA sequence CG030","U50531_at",3326
"3327","BRCA2 region; mRNA sequence CG003","U50534_at",3327
"3328","BRCA2 region; mRNA sequence CG005","U50535_at",3328
"3329","Helicase like protein 2 mRNA","U50553_at",3329
"3330","BCKDHB Branched chain keto acid dehydrogenase E1; beta polypeptide (maple syrup urine disease)","U50708_at",3330
"3331","Dynamitin mRNA","U50733_at",3331
"3332","Na;K-ATPase gamma subunit mRNA","U50743_at",3332
"3333","G16 protein (g16) mRNA; partial cds","U50839_at",3333
"3334","PKD2 Autosomal dominant polycystic kidney disease type II","U50928_at",3334
"3335","Betaine:homocysteine methyltransferase mRNA","U50929_at",3335
"3336","Amyloid precursor protein-binding protein 1 mRNA","U50939_at",3336
"3337","Infant brain unknown product mRNA","U50950_at",3337
"3338","Putative protein kinase C inhibitor (PKCI-1) mRNA","U51004_at",3338
"3339","CDX1 Caudal type homeo box transcription factor 1","U51095_at",3339
"3340","Homeobox protein Cdx2 mRNA","U51096_at",3340
"3341","IRF5 Interferon regulatory factor 5","U51127_at",3341
"3342","G/T mismatch-specific thymine DNA glycosylase mRNA","U51166_at",3342
"3343","COP9 homolog (HCOP9) mRNA","U51205_at",3343
"3344","KIAA0085 gene; partial cds","U51240_at",3344
"3345","CMKBR3 Chemokine (C-C) receptor 3","U51241_at",3345
"3346","Armadillo repeat protein mRNA","U51269_at",3346
"3347","Putative RNA binding protein (RBP56) mRNA","U51334_at",3347
"3348","Inositol 1;3;4-trisphosphate 5/6-kinase mRNA","U51336_at",3348
"3349","Nuclear protein Skip mRNA","U51432_at",3349
"3350","Diacylglycerol kinase zeta mRNA","U51477_at",3350
"3351","Sodium/potassium-transporting ATPase beta-3 subunit mRNA","U51478_at",3351
"3352","Cosmid N79E2","U51561_at",3352
"3353","Siah binding protein 1 (SiahBP1) mRNA; partial cds","U51586_at",3353
"3354","Golgi complex autoantigen golgin-97 mRNA","U51587_at",3354
"3355","Small acidic protein mRNA","U51678_at",3355
"3356","DESMOCOLLIN 2A/BB PRECURSOR","U51711_at",3356
"3357","RasGAP-related protein (IQGAP2) mRNA","U51903_at",3357
"3358","SRP54 Signal recognition particle 54 kD protein","U51920_at",3358
"3359","HPrp18 mRNA","U51990_at",3359
"3360","XMP mRNA","U52100_at",3360
"3361","YMP mRNA","U52101_at",3361
"3362","ALD gene (adrenoleukodystrophy protein) extracted from Human Xq28 genomic DNA in the region of the ALD locus containing the genes for creatine transporter (SLC6A8); CDM; adrenoleukodystrophy (ALD); Na+-isocitrate dehydrogenase gamma subunit (IDH); and translocon-associated protein delta (TRAP) genes; plexin related protein (PLEXR) and serine kinase (SK) genes; partial cds; Xq28lu1 gene and cytochrome C (CCp) pseudogene","U52111_rna3_at",3362
"3363","PLEXR gene (plexin related protein) extracted from Human Xq28 genomic DNA in the region of the ALD locus containing the genes for creatine transporter (SLC6A8); CDM; adrenoleukodystrophy (ALD); Na+-isocitrate dehydrogenase gamma subunit (IDH); and translocon-associated protein delta (TRAP) genes; plexin related protein (PLEXR) and serine kinase (SK) genes; partial cds; Xq28lu1 gene and cytochrome C (CCp) pseudogene","U52111_rna4_at",3363
"3364","L1CAM gene (neural cell adhesion molecule L1) extracted from Human Xq28 genomic DNA in the region of the L1CAM locus containing the genes for neural cell adhesion molecule L1 (L1CAM); arginine-vasopressin receptor (AVPR2); C1 p115 (C1); ARD1 N-acetyltransferase related protein (TE2); renin-binding protein (RbP); host cell factor 1 (HCF1); and interleukin-1 receptor-associated kinase (IRAK) genes; and Xq28lu2 gene","U52112_rna1_at",3364
"3365","RbP gene (renin-binding protein) extracted from Human Xq28 genomic DNA in the region of the L1CAM locus containing the genes for neural cell adhesion molecule L1 (L1CAM); arginine-vasopressin receptor (AVPR2); C1 p115 (C1); ARD1 N-acetyltransferase related protein (TE2); renin-binding protein (RbP); host cell factor 1 (HCF1); and interleukin-1 receptor-associated kinase (IRAK) genes; and Xq28lu2 gene","U52112_rna5_at",3365
"3366","Inwardly rectifying potassium channel Kir3.3 mRNA","U52152_at",3366
"3367","Inwardly rectifying potassium channel Kir3.2 mRNA","U52153_at",3367
"3368","Clone KGP G-protein coupled inwardly rectifying potassium channel mRNA","U52154_at",3368
"3369","Inward rectifier potassium channel Kir1.2 (Kir1.2) mRNA; partial cds","U52155_at",3369
"3370","GOK (STIM1) mRNA","U52426_at",3370
"3371","RNA polymerase II seventh subunit (rpb-7) gene","U52427_rna1_at",3371
"3372","RIG-G mRNA","U52513_at",3372
"3373","Grb2-related adaptor protein (Grap) mRNA","U52518_at",3373
"3374","GB DEF = Arfaptin 1; putative target protein of ADP-ribosylation factor; mRNA","U52521_at",3374
"3375","Arfaptin 2; putative target protein of ADP-ribosylation factor; mRNA","U52522_at",3375
"3376","IRF4 Interferon regulatory factor 4","U52682_at",3376
"3377","GB DEF = Tenascin-X (XB) mRNA; RACE clone N1; partial cds","U52700_at",3377
"3378","Cri-du-chat region mRNA; clone NIBB11","U52827_at",3378
"3379","GB DEF = Cri-du-chat region mRNA; clone CSC8","U52830_at",3379
"3380","Cri-du-chat region mRNA; clone CSA1","U52840_at",3380
"3381","RNA polymerase II holoenzyme component SRB7 (SRB7) mRNA","U52960_at",3381
"3382","BRAIN SPECIFIC POLYPEPTIDE PEP-19","U52969_at",3382
"3383","KNP-Ia","U53003_at",3383
"3384","PPP1CA Protein phosphatase 1; catalytic subunit; alpha isoform","U53174_at",3384
"3385","Transformer-2 alpha (htra-2 alpha) mRNA","U53209_at",3385
"3386","SNX1 Sorting nexin 1","U53225_at",3386
"3387","Neutral amino acid transporter B mRNA","U53347_at",3387
"3388","P38Beta MAP kinase mRNA","U53442_at",3388
"3389","Ovarian cancer downregulated myosin heavy chain homolog (Doc1) mRNA","U53445_at",3389
"3390","Mitogen-responsive phosphoprotein (DOC-2) mRNA","U53446_at",3390
"3391","NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA","U53468_at",3391
"3392","Proto-oncogene Wnt7a mRNA","U53476_at",3392
"3393","Type II iodothyronine deiodinase mRNA","U53506_at",3393
"3394","EVPL Envoplakin","U53786_at",3394
"3395","Interferon regulatory factor 7 (humirf7) mRNA","U53830_at",3395
"3396","PDK4 Pyruvate dehydrogenase kinase; isoenzyme 4","U54617_at",3396
"3397","14-3-3 epsilon mRNA","U54778_at",3397
"3398","Has2 mRNA","U54804_at",3398
"3399","LGN protein mRNA","U54999_at",3399
"3400","K-Cl cotransporter (hKCC1) mRNA","U55054_at",3400
"3401","Gamma-glutamyl hydrolase (hGH) mRNA","U55206_at",3401
"3402","Myosin VIIa transcript 2 mRNA","U55209_at",3402
"3403","GB DEF = HBRAVO/Nr-CAM precursor (hBRAVO/Nr-CAM) gene","U55258_at",3403
"3404","Estrogen sulfotransferase mRNA; partial cds","U55764_at",3404
"3405","Rev interacting protein Rip-1 mRNA","U55766_at",3405
"3406","130 kD Golgi-localized phosphoprotein (GPP130) mRNA","U55853_at",3406
"3407","GB DEF = SNAP-23 mRNA","U55936_at",3407
"3408","PWP2H protein mRNA","U56085_at",3408
"3409","Adhesion molecule DNAM-1 mRNA","U56102_at",3409
"3410","HIG-1 mRNA","U56244_at",3410
"3411","Lysophosphatidic acid acyltransferase-alpha mRNA","U56417_at",3411
"3412","Lysophosphatidic acid acyltransferase-beta mRNA","U56418_at",3412
"3413","Capping protein alpha subunit isoform 1 mRNA","U56637_at",3413
"3414","DNase1-Like III protein (DNAS1L3) mRNA","U56814_at",3414
"3415","Kinase Myt1 (Myt1) mRNA","U56816_at",3415
"3416","VHL binding protein-1 (VBP-1) mRNA; partial cds","U56833_at",3416
"3417","Calmodulin dependent phosphodiesterase PDE1B1 mRNA","U56976_at",3417
"3418","Putative serine/threonine protein kinase PRK (prk) mRNA","U56998_at",3418
"3419","WD protein IR10 mRNA","U57057_at",3419
"3420","Small GTP-binding protein rab30","U57092_at",3420
"3421","Small GTP-binding protein rab27b mRNA","U57093_at",3421
"3422","Small GTP-binding protein mRNA","U57094_at",3422
"3423","APEG-1 mRNA","U57099_at",3423
"3424","GCN5 (hGCN5) gene","U57316_at",3424
"3425","P300/CBP-associated factor (P/CAF) mRNA","U57317_at",3425
"3426","Myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA","U57342_at",3426
"3427","Sodium channel 1 (hBNaC1) mRNA","U57352_at",3427
"3428","PEDF Pigment epithelium-derived factor","U57450_at",3428
"3429","GB DEF = SNF1-like protein kinase mRNA; partial cds","U57452_at",3429
"3430","GB DEF = Jumonji putative protein (jumonji) mRNA","U57592_at",3430
"3431","Retinitis pigmentosa GTPase regulator (RPGR) mRNA","U57629_at",3431
"3432","Signaling inositol polyphosphate 5 phosphatase SIP-110 mRNA","U57650_at",3432
"3433","L-kynurenine hydrolase mRNA","U57721_at",3433
"3434","Zinc finger protein (LD5-1) mRNA","U57796_at",3434
"3435","Integral membrane protein CII-3 mRNA; nuclear gene encoding mitochondrial protein","U57877_at",3435
"3436","Fetal brain (239FB) mRNA; from the WAGR region","U57911_at",3436
"3437","GB DEF = Myotubularin related protein 1 (MTMR1) gene; partial cds","U58032_at",3437
"3438","GB DEF = Myotubularin related protein 2 (MTMR2) gene; partial cds","U58033_at",3438
"3439","GB DEF = Myotubularin related protein 3 (MTMR3) gene; partial cds","U58034_at",3439
"3440","PRSM1 Metallopeptidase 1 (33 kD)","U58048_at",3440
"3441","Hs-cul-1 mRNA","U58087_at",3441
"3442","Hs-cul-3 mRNA; partial cds","U58089_at",3442
"3443","Hs-cul-4A mRNA; partial cds","U58090_at",3443
"3444","GB DEF = Hs-cul-4B mRNA; partial cds","U58091_at",3444
"3445","TSPY Testis specific protein; Y-linked","U58096_at",3445
"3446","GB DEF = Bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA","U58130_at",3446
"3447","Placental delta sarcoglycan mRNA","U58331_at",3447
"3448","Bcl2; p53 binding protein Bbp/53BP2 (BBP/53BP2) mRNA","U58334_at",3448
"3449","Huntingtin interacting protein (HIP2) mRNA","U58522_at",3449
"3450","Unknown protein mRNA within the p53 intron 1","U58658_at",3450
"3451","GB DEF = Neurogenic basic-helix-loop-helix protein (NeuroD2) gene","U58681_at",3451
"3452","RPS28 Ribosomal protein S28","U58682_at",3452
"3453","FX protein mRNA","U58766_at",3453
"3454","Putative outer mitochondrial membrane 34 kDa translocase hTOM34 mRNA","U58970_at",3454
"3455","CRYBA4 Beta-A4 crystallin","U59057_at",3455
"3456","Dermatan sulfate proteoglycan 3 (DSPG3) mRNA","U59111_at",3456
"3457","EDA Ectodermal dysplasia protein","U59228_at",3457
"3458","Beta-R1 mRNA; partial cds","U59286_at",3458
"3459","H-cadherin mRNA","U59289_at",3459
"3460","Steroid receptor coactivator (SRC-1) mRNA","U59302_at",3460
"3461","FH Fumarate hydratase","U59309_at",3461
"3462","DEAD-box protein p72 (P72) mRNA","U59321_at",3462
"3463","Cadherin-14 mRNA","U59325_at",3463
"3464","Mad-related protein MADR1 mRNA","U59423_at",3464
"3465","Transcription factor (NFATc.b) mRNA","U59736_at",3465
"3466","GB DEF = Desert hedgehog (hDHH) mRNA; partial cds","U59748_at",3466
"3467","Sec7p-like protein mRNA; partial cds","U59752_at",3467
"3468","TRAF-interacting protein I-TRAF mRNA","U59863_at",3468
"3469","Low-Mr GTP-binding protein (RAB32) mRNA; partial cds","U59878_at",3469
"3470","SMAD5 (Smad5) mRNA","U59913_at",3470
"3471","Chromosome 15 Mad homolog Smad6 mRNA","U59914_at",3471
"3472","Smg GDS-associated protein SMAP mRNA","U59919_at",3472
"3473","FEZ1 mRNA","U60060_at",3473
"3474","FEZ1-T mRNA; alternatively spliced form","U60062_at",3474
"3475","Skeletal muscle LIM-protein SLIM1 mRNA","U60115_at",3475
"3476","Skeletal muscle LIM-protein SLIM2 mRNA; partial cds","U60116_at",3476
"3477","Methyl sterol oxidase (ERG25) mRNA","U60205_at",3477
"3478","Putative polymerase; orf similar to the integrase domain of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR","U60269_cds1_at",3478
"3479","Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR","U60269_cds2_at",3479
"3480","Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR","U60269_cds3_at",3480
"3481","HASNA-I mRNA","U60276_at",3481
"3482","HLA-H MHC protein HLA-H (hereditary haemochromatosis)","U60319_at",3482
"3483","POLG DNA polymerase gamma","U60325_at",3483
"3484","BHLH-PAS protein JAP3 mRNA","U60415_at",3484
"3485","Apoptotic cysteine protease Mch4 (Mch4) mRNA","U60519_at",3485
"3486","Cysteine protease ICE-LAP6 mRNA","U60521_at",3486
"3487","HU-K4 mRNA","U60644_at",3487
"3488","Testis specific basic protein (TSBP)","U60665_at",3488
"3489","Testis specific leucine rich repeat protein (TSLRP)","U60666_at",3489
"3490","Semaphorin (CD100) mRNA","U60800_at",3490
"3491","Oncostatin-M specific receptor beta subunit (OSMRB) mRNA","U60805_at",3491
"3492","Clone 137308 mRNA; partial cds","U60873_at",3492
"3493","Hybrid receptor gp250 precursor mRNA","U60975_at",3493
"3494","Enhancer of zeste homolog 2 (EZH2) mRNA","U61145_at",3494
"3495","SH3 domain-containing protein SH3P17 mRNA","U61166_at",3495
"3496","SH3 domain-containing protein SH3P18 mRNA","U61167_at",3496
"3497","Tubulin-folding cofactor E mRNA","U61232_at",3497
"3498","Tubulin-folding cofactor C mRNA","U61234_at",3498
"3499","NEO1 Neogenin (chicken) homolog 1","U61262_at",3499
"3500","Acetolactate synthase homolog mRNA","U61263_at",3500
"3501","Sushi-repeat-containing protein precursor (SRPX) mRNA","U61374_at",3501
"3502","Calcium-binding protein chp mRNA","U61538_at",3502
"3503","GB DEF = Clone 18 (HL-18); dynein heavy chain (Dnahc14) mRNA; partial cds","U61741_at",3503
"3504","Putative cyclin G1 interacting protein mRNA; partial sequence","U61836_at",3504
"3505","NPTX1 Neuronal pentraxin I","U61849_at",3505
"3506","Cyr61 mRNA","U62015_at",3506
"3507","Putative enterocyte differentiation promoting factor mRNA; partial cds","U62136_at",3507
"3508","Choline kinase isolog 384D8_3 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence","U62317_rna3_at",3508
"3509","Hypothetical protein 384D8_6 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence","U62317_rna6_at",3509
"3510","Hypothetical protein 384D8_7 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence","U62317_rna7_at",3510
"3511","FE65-like protein (hFE65L) mRNA; partial cds","U62325_at",3511
"3512","GB DEF = Putative cytosolic NADP-dependent isocitrate dehydrogenase mRNA; partial cds","U62389_at",3512
"3513","CHRNA2 Cholinergic receptor; nicotinic; alpha polypeptide 2 (neuronal)","U62431_at",3513
"3514","CHRNA4 Cholinergic receptor; nicotinic; alpha polypeptide 4","U62433_at",3514
"3515","Neuronal nicotinic acetylcholine receptor beta-2 subunit","U62437_at",3515
"3516","SLC4A2 Solute carrier family 4; anion exchanger; member 2 (erythrocyte membrane protein band 3-like 1)","U62531_at",3516
"3517","Branched-chain amino acid aminotransferase (ECA40) mRNA","U62739_at",3517
"3518","CST6 Cystatin M","U62800_at",3518
"3519","Protease M mRNA","U62801_at",3519
"3520","Succinyl CoA:3-oxoacid CoA transferase precursor (OXCT) mRNA","U62961_at",3520
"3521","Int-6 mRNA","U62962_at",3521
"3522","Na+/nucleoside cotransporter (hCNT1c) mRNA","U62966_at",3522
"3523","Gal beta-1;3 GalNAc alpha-2;3 sialyltransferase (ST3Gal II) mRNA","U63090_at",3523
"3524","Rad50 (Rad50) mRNA","U63139_at",3524
"3525","RNA-binding protein CUG-BP/hNab50 (NAB50) mRNA","U63289_at",3525
"3526","Seven in absentia homolog mRNA","U63295_at",3526
"3527","GB DEF = Cosmid LL12NC01-242E1; ETV6 gene; exons 1B and 3 and partial cds","U63312_at",3527
"3528","GB DEF = MutY homolog (hMYH) gene","U63329_at",3528
"3529","Super cysteine rich protein mRNA; partial cds","U63332_at",3529
"3530","MHC Class I region proline rich protein mRNA","U63336_at",3530
"3531","SUR Sulfonylurea receptor (hyperinsulinemia)","U63455_at",3531
"3532","GB DEF = mRNA expressed in HC/HCC livers and MolT-4 proliferating cells; partial sequence","U63541_at",3532
"3533","Putative FAP protein mRNA; partial cds","U63542_at",3533
"3534","Osteoclast stimulating factor mRNA","U63717_at",3534
"3535","Mitotic centromere-associated kinesin mRNA","U63743_at",3535
"3536","Transcription factor RTEF-1 (RTEF1) mRNA","U63824_at",3536
"3537","Hepatitis delta antigen interacting protein A (dipA) mRNA","U63825_at",3537
"3538","GB DEF = Neurogenic basic-helix-loop-helix protein (neuroD3) gene","U63842_at",3538
"3539","Guanine nucleotide exchange factor p115-RhoGEF mRNA; partial cds","U64105_at",3539
"3540","CC chemokine LARC precursor","U64197_at",3540
"3541","Il-12 receptor beta2 mRNA","U64198_at",3541
"3542","Ubiquitin fusion-degradation protein (UFD1L) mRNA","U64444_at",3542
"3543","Synaptobrevin-3 mRNA","U64520_at",3543
"3544","SRI Sorcin","U64675_at",3544
"3545","HPD-1 (hPD-1) mRNA","U64863_at",3545
"3546","G protein-coupled receptor GPR-NGA gene","U64871_at",3546
"3547","GB DEF = Ribonuclease k6 precursor gene","U64998_at",3547
"3548","Zinc finger protein PLAG1 mRNA","U65002_at",3548
"3549","Preferentially expressed antigen of melanoma (PRAME) mRNA","U65011_at",3549
"3550","Melanocyte-specific gene 1 (msg1) mRNA","U65092_at",3550
"3551","Msg1-related gene 1 (mrg1) mRNA","U65093_at",3551
"3552","GB DEF = Seven transmembrane G-coupled receptor (GPR31) gene","U65402_at",3552
"3553","Erythroid-specific transcription factor EKLF mRNA","U65404_at",3553
"3554","KCNJ1 gene (potassium channel ROM-K3) extracted from Human alternatively spliced potassium channels ROM-K1; ROM-K2; ROM-K3; ROM-K4; ROM-K5; and ROM-K6 (KCNJ1) gene","U65406_rna4_at",3554
"3555","Mitotic feedback control protein Madp2 homolog mRNA","U65410_at",3555
"3556","Homeodomain-containing protein (HANF) gene; partial cds","U65437_rna1_at",3556
"3557","Mitochondrial NADH dehydrogenase-ubiquinone Fe-S protein 8; 23 kDa subunit precursor (NDUFS8) nuclear mRNA encoding mitochondrial protein","U65579_at",3557
"3558","Ribosomal protein L3-like mRNA","U65581_at",3558
